Country Name,World Rank,Region Rank,2020 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
Chad,161.0,38.0,50.2,32.4,27.4,15.1,45.8,93.5,95.6,26.8,43.0,76.1,47.2,60.0,40.0,16.4,60.0,45.0,7.7,14.756,12.49,30.166,3.089,0.4,2415.25,2.2,2.483,662.2065734331395,46.565
Chile,15.0,2.0,76.8,69.9,61.1,73.4,76.4,80.8,90.5,75.0,64.7,85.2,89.0,85.0,70.0,0.5,35.0,27.0,20.2,25.281666666666666,18.545,481.756,4.022,2.2,25978.33,7.2,2.318,7160.143,25.561
China,103.0,20.0,59.5,60.9,76.3,46.0,70.4,67.9,67.5,76.8,64.4,71.1,72.4,20.0,20.0,3.8,45.0,25.0,17.5,32.70166666666667,1395.38,25270.066,6.567,6.9,18109.81,4.4,2.1,139043.492,50.463
Colombia,45.0,4.0,69.2,61.1,32.8,46.1,70.4,77.0,85.5,71.3,78.0,77.5,81.2,80.0,70.0,4.4,39.0,33.0,18.8,27.669999999999998,49.834,744.696,2.658,2.8,14943.48,9.1,3.238,11009.862312647954,50.479
Comoros,143.0,28.0,53.7,43.1,31.7,23.8,63.6,73.6,85.0,47.8,60.3,81.7,59.2,45.0,30.0,10.4,30.0,50.0,15.5,29.666,0.849,1.386,2.763,2.1,1631.83,3.7,2.0,7.886496449025198,31.199
"Congo, Democratic Republic of the Congo",162.0,39.0,49.5,30.1,26.5,13.1,74.4,95.4,98.0,51.2,41.6,49.6,64.6,30.0,20.0,10.2,30.0,40.0,7.6,12.432666666666668,95.028,72.924,3.948,5.2,767.393,4.2,29.3,1493.875,15.651
"Congo, Republic of",176.0,46.0,41.8,40.7,30.0,23.1,63.3,56.2,0.6,37.5,35.3,83.2,56.8,45.0,30.0,11.6,45.0,34.0,22.1,38.208333333333336,4.456,30.297,0.805,0.9,6798.92,10.4,1.153,4313.1436650143105,98.465
Costa Rica,68.0,12.0,65.8,66.7,54.4,57.2,78.9,88.4,39.7,66.5,55.0,81.2,81.4,70.0,50.0,1.8,25.0,30.0,24.1,19.683999999999997,5.024,88.22,2.67,3.5,17559.06,8.1,2.312,2134.184,53.543
Côte d'Ivoire,101.0,9.0,59.7,48.5,33.0,25.5,77.8,82.5,66.9,62.3,49.2,75.7,69.4,75.0,50.0,10.3,36.0,25.0,17.4,24.162333333333333,25.609,106.984,7.414,8.1,4177.64,2.5,0.284,912.8563008214666,52.202
Croatia,84.0,39.0,62.2,69.9,39.6,51.0,65.9,34.7,89.1,53.6,44.0,77.6,86.4,75.0,60.0,2.0,40.0,18.0,38.6,46.64633333333333,4.096,107.406,2.708,2.3,26221.43,8.9,1.5,1159.4152433338447,73.86
